avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.02949,0.12018,3.1333,9.3899,7.8453,6.2694,1.0,93.593,79.677,72.562,55.053,19.406,33.322,40.437,57.946,0.0,0.0,0.0,0.0,0.04426,0.19379,0.0,0.0
0.16033,0.62294,3.1323,9.3694,7.7687,6.2691,0.9990436722983742,105.47,43.518,63.339,88.43,7.5279,69.481,49.66,24.569,0.0,0.0,0.0,0.0,1.1842,0.0,0.0,0.06224
5.5737,21.476,3.1285,9.4158,7.7955,6.3006,0.8522986631887838,109.01,45.257,70.555,75.919,3.9871,67.742,42.444,37.08,0.0,0.0,0.0,0.0,42.375,0.0,0.0,0.0
18.4,72.913,3.1263,9.365,7.761,6.2426,0.6526888604353394,81.336,25.476,87.373,107.82,31.663,87.523,25.626,5.1718,0.0,6.7645,0.0,0.0,0.0,0.0,0.03365,138.5
15.782,62.54,3.1207,9.3552,7.8929,6.2792,0.6867226890756303,102.56,57.409,102.21,38.411,10.435,55.59,10.781,74.588,0.0,0.0,0.0,0.0,57.445,0.0,68.95,0.0
4.6093,17.878,3.1679,9.5085,7.9236,6.3174,0.896551724137931,103.46,82.028,45.631,70.238,9.531,30.971,67.368,42.761,0.0,0.0,1.8146,0.0,33.825,0.0,0.0,0.0
13.382,53.031,3.154,9.3626,7.8805,6.2852,0.7244488977955912,105.06,52.857,104.97,37.724,7.9369,60.143,8.0205,75.275,0.0,0.0,0.0,0.0,99.09,0.0,8.0127,0.0
33.636,133.33,3.0932,9.3842,7.8592,6.1825,0.5163442294863242,110.35,36.611,41.74,111.88,2.643,76.388,71.259,1.1152,0.0,0.0,0.0,0.0,85.601,0.0,0.0,192.2
14.547,59.169,3.1465,9.3994,7.8394,6.2725,0.7035546613011402,102.53,21.045,72.103,104.98,10.463,91.954,40.896,8.0105,0.0,0.04071,0.0,0.0,100.97,0.0,0.0,15.359
8.4851,34.325,3.1375,9.4365,7.8831,6.3313,0.7526673132880698,66.173,108.74,42.939,82.934,46.826,4.2505,70.06,30.065,0.0,0.0,0.0,0.0,0.0,68.306,0.0,0.0
