avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00125,0.00377,3.1451,9.4523,7.8719,6.2701,1.0,90.781,84.74,54.94,54.427,21.218,27.259,57.059,57.572,0.0,0.0,0.0,0.0,0.0,0.00741,0.0,0.0
31.47,127.89,3.1461,9.496,7.938,6.3344,0.46062602965403626,111.8,15.439,71.564,94.719,0.19179,96.56,40.435,17.28,0.0,48.279,0.0,0.0,150.91,0.0,0.0,49.929
5.7457,23.183,3.1348,9.468,7.9264,6.3293,0.8327212020033389,105.65,46.624,42.311,90.13,6.3468,65.375,69.688,21.869,0.0,0.0,0.0,0.0,14.422,0.0,0.0,31.737
0.07725,0.31726,3.1538,9.4166,7.8429,6.2682,0.9993508601103538,80.285,43.237,66.735,94.481,31.714,68.762,45.264,17.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63145
2.8814,11.046,3.1045,9.2729,7.8577,6.226,0.9174884944115713,98.995,63.783,89.512,32.373,13.004,48.216,22.487,79.626,0.0,0.0,0.0,0.0,22.969,0.0,0.0,0.0
0.46606,1.7856,3.1263,9.4411,7.8531,6.2187,0.994256541161455,93.918,70.635,85.645,34.714,18.081,41.364,26.354,77.285,0.0,0.0,0.0,0.0,3.42,0.0,0.29894,0.0
2.692,10.946,3.1441,9.4135,7.9101,6.2575,0.9492317969271877,88.582,72.439,91.113,32.57,23.417,39.56,20.886,79.429,0.0,0.0,0.0,0.00504,23.484,0.0,0.0,0.0
37.487,149.0,3.1506,9.4104,7.8244,6.2933,0.5130718954248366,108.71,67.4,10.951,104.8,3.2853,44.599,101.04,7.1931,0.0,0.0,39.104,0.0,239.18,0.0,0.0,18.871
23.215,90.256,3.1463,9.4376,7.8712,6.2535,0.6498015873015873,99.017,13.895,89.342,102.78,12.982,98.104,22.657,9.2183,0.0,106.62,0.0,0.0,30.643,0.0,42.804,4.4135
1.0125,3.9064,3.1469,9.4378,7.8918,6.3148,0.9833440102498399,60.768,96.102,30.211,97.751,51.231,15.897,81.788,14.248,0.0,0.0,0.0891,0.0,0.0,0.32847,0.0,7.5143
12.082,46.931,3.1239,9.4644,7.93,6.2467,0.7725165562913907,67.538,17.588,97.136,102.43,44.461,94.411,14.863,9.5649,0.0,0.08097,0.0,0.0,0.3552,0.0,6.9328,86.772
18.066,70.831,3.138,9.5122,7.9321,6.3232,0.7657331136738056,107.24,27.359,70.434,85.956,4.7567,84.64,41.565,26.043,0.0,33.886,0.0,0.0,95.422,0.0,0.0,13.693
14.767,59.035,3.1612,9.456,7.9786,6.3798,0.7468193384223919,104.97,46.935,59.095,73.913,7.0217,65.064,52.904,38.086,0.0,0.0,0.0,0.0,118.67,0.0,0.0,0.0
24.324,93.475,3.1519,9.4157,7.906,6.3034,0.5966688438928804,68.805,49.295,55.054,111.5,43.194,62.704,56.945,0.49812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.1
7.9336,31.514,3.1665,9.5138,7.9025,6.2836,0.7855288773523685,109.88,69.702,20.918,84.314,2.1132,42.297,91.081,27.685,0.0,0.0,0.17153,0.0,63.3,0.0,0.0,0.0
19.371,76.403,3.132,9.4404,7.8819,6.265,0.6753719008264463,93.313,58.489,27.064,106.48,18.686,53.51,84.935,5.5133,0.0,0.0,3.0731,0.0,112.33,0.0,0.0,43.929
22.133,85.963,3.1522,9.4182,7.8707,6.347,0.7161839863713799,95.1,13.479,83.364,104.8,16.899,98.52,28.635,7.1967,0.0,67.249,0.0,0.0,25.889,0.0,8.1043,85.501
